Size,Threads,Time
64,1,0.0278065
64,1,0.02958
64,1,0.0302593
64,1,0.0278358
64,1,0.0279664
64,1,0.0289822
64,1,0.0306917
64,1,0.0282965
64,1,0.0303999
64,1,0.028816
64,1,0.0282962
64,1,0.0287637
64,1,0.0304839
64,1,0.0307203
64,1,0.0310182
64,1,0.0299519
64,1,0.0283684
64,1,0.0282583
64,1,0.0394367
64,1,0.0318754
64,2,0.0341737
64,2,0.0324925
64,2,0.0346319
64,2,0.0361008
64,2,0.0320545
64,2,0.0341889
64,2,0.0293145
64,2,0.0278968
64,2,0.0251988
64,2,0.0313213
64,2,0.132377
64,2,0.0320972
64,2,0.0329268
64,2,0.0277807
64,2,0.0280789
64,2,0.0465621
64,2,0.0457232
64,2,0.0504029
64,2,0.0415024
64,2,0.0363149
64,4,0.0269578
64,4,0.0285378
64,4,0.0304541
64,4,0.0332342
64,4,0.0388036
64,4,0.0346485
64,4,0.0310581
64,4,0.0243939
64,4,0.0259239
64,4,0.0265799
64,4,0.0248615
64,4,0.0266677
64,4,0.0249973
64,4,0.0255032
64,4,0.0261915
64,4,0.0269594
64,4,0.027871
64,4,0.0231692
64,4,0.0260167
64,4,0.0247753
64,8,0.063365
64,8,0.0277824
64,8,0.0311572
64,8,0.0382905
64,8,0.0297646
64,8,0.0346727
64,8,0.033243
64,8,0.0302936
64,8,0.0315867
64,8,0.0293155
64,8,0.0267052
64,8,0.0369264
64,8,0.0338786
64,8,0.0331218
64,8,0.029301
64,8,0.0305221
64,8,0.0287754
64,8,0.0287624
64,8,0.0408126
64,8,0.0298032
64,16,0.0456587
64,16,0.0584694
64,16,0.077684
64,16,0.0433175
64,16,0.0508826
64,16,0.047418
64,16,0.0432953
64,16,0.0430034
64,16,0.0477547
64,16,0.0464211
64,16,0.0632592
64,16,0.043965
64,16,0.0428433
64,16,0.0391252
64,16,0.0426888
64,16,0.0665827
64,16,0.0512103
64,16,0.0416527
64,16,0.0439431
64,16,0.0380505
128,1,0.173816
128,1,0.172708
128,1,0.172905
128,1,0.172805
128,1,0.1729
128,1,0.172867
128,1,0.174031
128,1,0.171248
128,1,0.144152
128,1,0.148488
128,1,0.145298
128,1,0.14812
128,1,0.154195
128,1,0.146748
128,1,0.147337
128,1,0.149597
128,1,0.178661
128,1,0.148057
128,1,0.159425
128,1,0.15201
128,2,0.243278
128,2,0.238931
128,2,0.242281
128,2,0.239921
128,2,0.242641
128,2,0.229356
128,2,0.244578
128,2,0.245796
128,2,0.239789
128,2,0.249466
128,2,0.246653
128,2,0.194048
128,2,0.244019
128,2,0.239966
128,2,0.242308
128,2,0.250094
128,2,0.241757
128,2,0.249126
128,2,0.243565
128,2,0.242234
128,4,0.135638
128,4,0.136423
128,4,0.132709
128,4,0.131763
128,4,0.147471
128,4,0.146367
128,4,0.14007
128,4,0.145696
128,4,0.136822
128,4,0.13827
128,4,0.136962
128,4,0.132297
128,4,0.103598
128,4,0.141627
128,4,0.160987
128,4,0.134584
128,4,0.137161
128,4,0.134408
128,4,0.163189
128,4,0.230277
128,8,0.0771991
128,8,0.129187
128,8,0.141355
128,8,0.0820352
128,8,0.105315
128,8,0.082571
128,8,0.116243
128,8,0.0910133
128,8,0.0795036
128,8,0.107474
128,8,0.144355
128,8,0.0842871
128,8,0.0928112
128,8,0.0871558
128,8,0.0809776
128,8,0.139498
128,8,0.0911617
128,8,0.0867133
128,8,0.0814151
128,8,0.095674
128,16,0.0720763
128,16,0.127775
128,16,0.109351
128,16,0.0748359
128,16,0.133579
128,16,0.070188
128,16,0.0658948
128,16,0.0882352
128,16,0.076221
128,16,0.0678244
128,16,0.063019
128,16,0.118425
128,16,0.0751309
128,16,0.120935
128,16,0.0690939
128,16,0.123638
128,16,0.0976454
128,16,0.0962463
128,16,0.0672609
128,16,0.0758635
256,1,1.21897
256,1,1.15716
256,1,1.19853
256,1,1.21497
256,1,1.59478
256,1,1.23066
256,1,1.21853
256,1,1.21756
256,1,1.20992
256,1,1.21437
256,1,1.39715
256,1,1.21859
256,1,1.22186
256,1,1.23389
256,1,1.21768
256,1,1.22091
256,1,1.20147
256,1,1.19885
256,1,1.21379
256,1,1.45468
256,2,0.749318
256,2,0.626619
256,2,0.628615
256,2,0.624091
256,2,0.625067
256,2,0.760929
256,2,0.754428
256,2,0.632667
256,2,0.627457
256,2,0.625576
256,2,0.62485
256,2,0.629064
256,2,0.634338
256,2,1.65659
256,2,1.60234
256,2,1.60347
256,2,1.6232
256,2,1.63833
256,2,1.62313
256,2,1.59435
256,4,0.857832
256,4,0.855852
256,4,0.865447
256,4,0.421519
256,4,0.363156
256,4,0.371033
256,4,0.423935
256,4,0.376082
256,4,0.453871
256,4,0.45195
256,4,0.370973
256,4,0.371352
256,4,0.351168
256,4,0.390711
256,4,0.439565
256,4,0.407705
256,4,0.459619
256,4,0.429237
256,4,0.463281
256,4,0.400565
256,8,0.27349
256,8,0.374341
256,8,0.239259
256,8,0.264111
256,8,0.454201
256,8,0.491887
256,8,0.492767
256,8,0.489285
256,8,0.480377
256,8,0.450178
256,8,0.478282
256,8,0.513121
256,8,0.510671
256,8,0.442215
256,8,0.326169
256,8,0.473597
256,8,0.477892
256,8,0.473864
256,8,0.463515
256,8,0.454561
256,16,0.277766
256,16,0.276397
256,16,0.265055
256,16,0.267223
256,16,0.281156
256,16,0.26196
256,16,0.281818
256,16,0.289413
256,16,0.291403
256,16,0.29099
256,16,0.261366
256,16,0.318061
256,16,0.312414
256,16,0.283099
256,16,0.334323
256,16,0.327961
256,16,0.29153
256,16,0.326144
256,16,0.254935
256,16,0.26731
512,1,7.09241
512,1,6.99429
512,1,7.4641
512,1,7.34913
512,1,7.13779
512,1,7.1007
512,1,7.45596
512,1,7.07706
512,1,7.42112
512,1,7.16938
512,1,7.33544
512,1,7.09027
512,1,7.35076
512,1,7.33965
512,1,7.55413
512,1,7.28862
512,1,7.22708
512,1,7.30502
512,1,7.08745
512,1,7.28533
512,2,8.24199
512,2,8.14744
512,2,8.8544
512,2,9.24817
512,2,8.92208
512,2,9.01095
512,2,9.1522
512,2,9.3068
512,2,8.71414
512,2,6.49667
512,2,7.43335
512,2,7.35937
512,2,8.07223
512,2,8.56242
512,2,7.86303
512,2,7.88267
512,2,8.27945
512,2,8.10657
512,2,7.62376
512,2,7.55558
512,4,2.46244
512,4,2.58729
512,4,2.5661
512,4,2.37934
512,4,2.38518
512,4,2.39355
512,4,2.40464
512,4,2.38526
512,4,2.37149
512,4,2.39859
512,4,2.39902
512,4,2.35255
512,4,2.66366
512,4,2.56373
512,4,2.36415
512,4,2.34419
512,4,2.29099
512,4,2.37509
512,4,2.32194
512,4,2.37326
512,8,2.57521
512,8,2.64246
512,8,2.57061
512,8,2.63281
512,8,2.69614
512,8,2.58052
512,8,2.40931
512,8,2.68435
512,8,2.65438
512,8,2.64265
512,8,2.5653
512,8,2.63866
512,8,2.60002
512,8,2.63176
512,8,2.53287
512,8,2.57041
512,8,2.63763
512,8,2.49817
512,8,2.60044
512,8,2.63566
512,16,1.48056
512,16,1.4613
512,16,1.49153
512,16,1.46061
512,16,1.37516
512,16,1.53718
512,16,1.42999
512,16,1.43101
512,16,1.52266
512,16,1.49069
512,16,1.49943
512,16,1.52976
512,16,1.52246
512,16,1.43219
512,16,1.4739
512,16,1.44673
512,16,1.4898
512,16,1.29957
512,16,0.934322
512,16,0.874228
1024,1,70.2373
1024,1,69.7906
1024,1,69.5953
1024,1,72.076
1024,1,70.0536
1024,1,69.7953
1024,1,71.6134
1024,1,71.3471
1024,1,72.2717
1024,1,71.669
1024,1,70.3558
1024,1,72.5957
1024,1,72.8264
1024,1,71.9862
1024,1,71.1687
1024,1,70.5875
1024,1,71.6459
1024,1,69.9138
1024,1,70.3529
1024,1,70.7861
1024,2,59.5525
1024,2,56.2558
1024,2,57.2778
1024,2,63.8408
1024,2,59.9502
1024,2,61.103
1024,2,55.2632
1024,2,67.2026
1024,2,67.3049
1024,2,56.552
1024,2,61.2225
1024,2,45.2936
1024,2,38.0829
1024,2,37.5985
1024,2,49.6627
1024,2,56.034
1024,2,59.5247
1024,2,59.9339
1024,2,61.2918
1024,2,66.5299
1024,4,24.8941
1024,4,33.3393
1024,4,32.5694
1024,4,26.5543
1024,4,32.9309
1024,4,33.2927
1024,4,28.0005
1024,4,34.253
1024,4,32.068
1024,4,33.4396
1024,4,33.7138
1024,4,30.0177
1024,4,33.1931
1024,4,31.918
1024,4,32.8549
1024,4,33.3549
1024,4,27.5703
1024,4,32.7178
1024,4,33.495
1024,4,29.8625
1024,8,17.0425
1024,8,16.7026
1024,8,16.8528
1024,8,15.9228
1024,8,16.7771
1024,8,15.5594
1024,8,16.8307
1024,8,16.8001
1024,8,16.1893
1024,8,16.4962
1024,8,16.5249
1024,8,16.2237
1024,8,10.4554
1024,8,16.9738
1024,8,17.1921
1024,8,16.5634
1024,8,16.7621
1024,8,15.931
1024,8,16.9334
1024,8,16.8071
1024,16,6.35359
1024,16,8.98854
1024,16,6.05275
1024,16,8.84866
1024,16,8.82252
1024,16,8.83774
1024,16,8.99349
1024,16,8.78232
1024,16,8.89867
1024,16,7.49929
1024,16,8.91793
1024,16,8.50191
1024,16,8.89623
1024,16,9.32007
1024,16,8.7137
1024,16,8.85656
1024,16,8.74523
1024,16,8.88557
1024,16,8.77395
1024,16,8.95955
